breed_primary,breed_secondary,breed_mixed,breed_unknown,name,age,sex,size,contact_city,contact_state,contact_zip,contact_country,FoundCity,FoundState,foundStateAbb,stateQ
Hound,,False,False,Gene,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Terrier,,True,False,Thomas,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Labrador Retriever,,False,False,Easy,Baby,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Labrador Retriever,,False,False,Britt,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,True,False,Riley,Baby,Female,Medium,Waxhaw,NC,28173,US,,North Carolina,NC,NC
American Staffordshire Terrier,,True,False,Ricky,Adult,Male,Medium,Waxhaw,NC,28173,US,,North Carolina,NC,NC
Labrador Retriever,,True,False,Callie,Adult,Female,Medium,Waxhaw,NC,28173,US,,North Carolina,NC,NC
Labrador Retriever,Hound,True,False,Droopy,Young,Male,Large,Smithfield,NC,27577,US,,North Carolina,NC,NC
Redbone Coonhound,,True,False,Aroon,Adult,Male,Medium,Charlotte,NC,28201,US,,North Carolina,NC,NC
Chihuahua,,False,False,Clover,Senior,Female,Small,Greensboro,NC,27417,US,,North Carolina,NC,NC
Retriever,Labrador Retriever,True,False,Willow,Adult,Female,Medium,Mocksville,NC,27028,US,,North Carolina,NC,NC
Chow Chow,English Springer Spaniel,True,False,Rowdy,Senior,Male,Large,Winnsboro,SC,29180,US,,North Carolina,NC,NC
Beagle,Hound,True,False,Fred Bladen,Young,Male,Large,Rockaway,NJ,07866,US,,North Carolina,NC,NJ
Hound,Retriever,True,False,Shyla,Adult,Female,Medium,South Plainfield,NJ,07080,US,,North Carolina,NC,NJ
Labrador Retriever,,True,False,Buck,Adult,Male,Large,Barnesville,PA,18214,US,,North Carolina,NC,NJ
Shepherd,,True,False,Tina,Adult,Female,Medium,South Plainfield,NJ,07080,US,,North Carolina,NC,NJ
Doberman Pinscher,,True,False,Diesel,Adult,Male,Large,Manchester,TN,37355,US,,North Carolina,NC,TN
Akita,,False,False,Ace,Young,Male,Large,Virginia Beach,VA,23454,US,,North Carolina,NC,VA
Dogo Argentino,,False,False,ELSA,Adult,Female,Large,Virginia Beach,VA,23454,US,,North Carolina,NC,VA
Akita,,True,False,Kazu,Adult,Male,Large,Chesapeake,VA,23322,US,,North Carolina,NC,VA
Dogo Argentino,,False,False,Elsa,Adult,Female,Medium,Virginia Beach,VA,23454,US,,North Carolina,NC,VA
Hound,Pit Bull Terrier,True,False,Reese,Young,Female,Medium,Norfolk,VA,23518,US,,North Carolina,NC,VA
Australian Shepherd,,False,False,Lady Bunny,Baby,Female,Medium,Fayetteville,NC,28304,US,,North Carolina,NC,NC
Shih Tzu,,True,False,Baxter,Adult,Male,Small,Greensboro,NC,27455,US,,North Carolina,NC,NC
Labrador Retriever,,True,False,Simba,Young,Male,Medium,Mint Hill,NC,28227,US,,North Carolina,NC,NC
American Bulldog,Labrador Retriever,True,False,CAMI,Baby,Female,Medium,Vass,NC,28394,US,,North Carolina,NC,NC
American Bulldog,Lakeland Terrier,True,False,BUBBLES,Baby,Female,Medium,Vass,NC,28394,US,,North Carolina,NC,NC
American Bulldog,Labrador Retriever,True,False,MILO,Baby,Male,Large,Vass,NC,28394,US,,North Carolina,NC,NC
Pit Bull Terrier,Labrador Retriever,True,False,ROXIE - COURTESY LISTING,Young,Female,Large,Dallas,NC,28034,US,,North Carolina,NC,NC
Chow Chow,English Springer Spaniel,True,False,Rowdy,Senior,Male,Large,Winnsboro,SC,29180,US,,North Carolina,NC,NC
Labrador Retriever,,True,False,Joplin,Adult,Female,Large,Knoxville,IA,50138,US,,Nebraska,NE,IA
Labrador Retriever,,True,False,Ace,Adult,Male,Large,Knoxville,IA,50138,US,,Nebraska,NE,IA
Labrador Retriever,,True,False,Blondie,Adult,Female,Large,Knoxville,IA,50138,US,,Nebraska,NE,IA
German Shepherd Dog,Labrador Retriever,True,False,Ringo,Adult,Male,Large,Knoxville,IA,50138,US,,Nebraska,NE,IA
German Shepherd Dog,,False,False,Chloe1 (CL),Young,Female,Medium,Raleigh,NC,27619,US,New Bern,North Carolina,NC,NC
Pit Bull Terrier,,False,False,Chop,Adult,Male,Medium,Winthrop,MA,02152,US,,Florida,FL,CT
